nacchoid,yearsurvey,county_fips,cty_fip_adj,lhd_name,stabrev
AL001,2016,1001,01001,Autauga County Health Department,AL
AL002,2016,1003,01003,Baldwin County Health Department,AL
AL011,2016,1021,01021,Chilton County Health Department,AL
AL017,2016,1033,01033,Colbert County Health Department,AL
AL028,2016,1053,01053,Escambia County Health Department,AL
AL033,2014,1063,01063,Greene County Health Department,AL
AL039,2014,1075,01075,Lamar County Health Department,AL
AL046,2006,1089,01089,Madison County Health Department,AL
AL046,2012,1089,01089,Madison County Health Department,AL
AL050,2006,1097,01097,Mobile County Health Department,AL
AL050,2012,1097,01097,Mobile County Health Department,AL
AL050,2016,1097,01097,Mobile County Health Department,AL
AL051,2016,1099,01099,Monroe County Health Department,AL
AL052,2012,1101,01101,Montgomery County Health Department,AL
AL052,2016,1101,01101,Montgomery County Health Department,AL
AL066,2012,1125,01125,Tuscaloosa County Health Department,AL
AL066,2016,1125,01125,Tuscaloosa County Health Department,AL
AL067,2014,1127,01127,Walker County Health Department,AL
AL067,2016,1127,01127,Walker County Health Department,AL
AK001,2006,2001,02001,Municipality Of Anchorage/Department Of Health And Human Services,AK
AK039,2014,2016,02016,Southwest Region,AK
AK004,2014,2185,02185,North Slope Borough Health and Social Services Agency,AK
AK041,2016,2195,02195,Southeast Region,AK
AZ001,2014,4001,04001,Apache County Health Department,AZ
AZ001,2016,4001,04001,Apache County Health Department,AZ
AZ002,2006,4003,04003,Cochise County Health Department,AZ
AZ002,2012,4003,04003,Cochise County Health Department,AZ
AZ002,2014,4003,04003,Cochise County Health Department,AZ
AZ002,2016,4003,04003,Cochise County Health Department,AZ
AZ003,2006,4005,04005,Coconino County Health Department,AZ
AZ003,2012,4005,04005,Coconino County Health Department,AZ
AZ003,2016,4005,04005,Coconino County Health Department,AZ
AZ005,2014,4009,04009,Graham County Health Department,AZ
AZ007,2016,4012,04012,La Paz County Health Department,AZ
AZ008,2006,4013,04013,Maricopa County Department Of Public Health,AZ
AZ008,2012,4013,04013,Maricopa County Department Of Public Health,AZ
AZ008,2014,4013,04013,Maricopa County Department Of Public Health,AZ
AZ009,2014,4015,04015,Mohave County Department Of Health & Social Services,AZ
AZ009,2016,4015,04015,Mohave County Department Of Health & Social Services,AZ
AZ011,2012,4019,04019,Pima County Health Department,AZ
AZ011,2014,4019,04019,Pima County Health Department,AZ
AZ011,2016,4019,04019,Pima County Health Department,AZ
AZ012,2012,4021,04021,Pinal County Department Of Public Health,AZ
AZ012,2014,4021,04021,Pinal County Department Of Public Health,AZ
AZ012,2016,4021,04021,Pinal County Department Of Public Health,AZ
AZ014,2006,4025,04025,Yavapai County Community Health Services,AZ
AZ014,2012,4025,04025,Yavapai County Community Health Services,AZ
AZ014,2014,4025,04025,Yavapai County Community Health Services,AZ
AZ014,2016,4025,04025,Yavapai County Community Health Services,AZ
AZ015,2006,4027,04027,Yuma County Department Of Public Health,AZ
AZ015,2016,4027,04027,Yuma County Department Of Public Health,AZ
AR005,2016,5009,05009,Boone County Health Department,AR
AR007,2014,5013,05013,Calhoun County Health Unit,AR
AR007,2016,5013,05013,Calhoun County Health Unit,AR
AR013,2014,5025,05025,Cleveland County Health Unit,AR
AR013,2016,5025,05025,Cleveland County Health Unit,AR
AR020,2016,5039,05039,Dallas County Health Unit,AR
AR033,2014,5067,05067,Jackson County Health Unit,AR
AR033,2016,5067,05067,Jackson County Health Unit,AR
AR034,2006,5069,05069,Jefferson County Health Unit,AR
AR034,2012,5069,05069,Jefferson County Health Unit,AR
AR034,2016,5069,05069,Jefferson County Health Unit,AR
AR036,2016,5073,05073,Lafayette County Health Unit,AR
AR037,2014,5075,05075,Lawrence County Health Unit,AR
AR037,2016,5075,05075,Lawrence County Health Unit,AR
AR110,2014,5083,05083,Logan Co. Booneville Health Unit,AR
AR110,2016,5083,05083,Logan Co. Booneville Health Unit,AR
AR042,2016,5085,05085,,AR
AR044,2016,5089,05089,Marion County Health Unit,AR
AR047,2014,5095,05095,Monroe County Health Unit,AR
AR047,2016,5095,05095,Monroe County Health Unit,AR
AR048,2014,5097,05097,Montgomery County Health Unit,AR
AR048,2016,5097,05097,Montgomery County Health Unit,AR
AR049,2016,5099,05099,Nevada County Health Unit,AR
AR050,2014,5101,05101,Newton County Health Unit,AR
AR050,2016,5101,05101,Newton County Health Unit,AR
AR055,2014,5111,05111,Poinsett County Health Unit - Harrisburg,AR
AR055,2016,5111,05111,Poinsett County Health Unit - Harrisburg,AR
AR058,2014,5117,05117,Prairie County Health Unit,AR
AR059,2006,5119,05119,Pulaski County Central Health Unit,AR
AR059,2016,5119,05119,Pulaski County Central Health Unit,AR
AR060,2016,5121,05121,Randolph County,AR
AR064,2012,5131,05131,Sebastian County Health Unit,AR
AR064,2014,5131,05131,Sebastian County Health Unit,AR
